log_entry,log_level
17/06/09 19:57:11 INFO executor.Executor: Running task 19.0 in stage 2132.0 (TID 85899),info
17/06/09 13:19:56 INFO executor.Executor: Running task 31.0 in stage 13659.0 (TID 546822),info
"17/06/09 17:39:31 INFO python.PythonRunner: Times: total = 41, boot = -41, init = 82, finish = 0",info
17/06/09 16:56:25 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 58762,info
"17/06/09 17:09:29 INFO python.PythonRunner: Times: total = 37, boot = -23, init = 60, finish = 0",info
"17/06/08 17:38:53 INFO python.PythonRunner: Times: total = 39, boot = -51, init = 89, finish = 1",info
17/06/08 15:08:13 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 43069,info
"17/03/23 14:47:44 INFO storage.MemoryStore: Block broadcast_5_piece38 stored as bytes in memory (estimated size 4.0 MB, free 1694.7 MB)",info
"17/06/09 15:52:12 INFO python.PythonRunner: Times: total = 37, boot = 16, init = 21, finish = 0",info
17/06/09 11:44:59 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 4047,info
